Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart OffShell e_eta_192(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_372,%eta_190,%gam_210}*gamma_{%\sigma_372,%gam_211,%eps_110}*c_{l_78,%eta_190}(p_2)_v^(*)*c_{k_78,%gam_210}(p_1)_u*e_{i_80,%gam_211}(p_3)_u^(*)*e_{j_80,%eps_110}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  OffShell e_beta_87(X)  AntiPart e_gam_264(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_425,%eta_220,%gam_260}*gamma_{%\sigma_425,%gam_261,%del_218}*c_{l_89,%eta_220}(p_2)_v^(*)*c_{k_89,%gam_260}(p_1)_u*e_{j_91,%del_218}(p_4)_v*e_{i_91,%gam_261}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  OffShell e_beta_87(X)  AntiPart OffShell e_alpha_189(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_458,%eta_255,%gam_310}*gamma_{%\sigma_458,%gam_311,%eta_256}*c_{l_96,%eta_255}(p_2)_v^(*)*c_{k_96,%gam_310}(p_1)_u*e_{j_98,%eta_256}(p_4)_v*e_{i_98,%gam_311}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  AntiPart e_eps_136(X)^(*)  e_eta_300(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_505,%eta_298,%gam_365}*gamma_{%\sigma_505,%gam_366,%gam_367}*c_{l_103,%eta_298}(p_2)_v^(*)*c_{k_103,%gam_365}(p_1)_u*e_{i_105,%gam_367}(p_3)_v*e_{j_105,%gam_366}(p_4)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  AntiPart e_eps_136(X)^(*)  OffShell e_del_273(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_545,%eta_325,%gam_434}*gamma_{%\sigma_545,%gam_435,%eps_142}*c_{k_110,%gam_434}(p_1)_u*c_{l_110,%eta_325}(p_2)_v^(*)*e_{j_112,%gam_435}(p_4)_u^(*)*e_{i_112,%eps_142}(p_3)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  AntiPart OffShell e_del_290(X)^(*)  e_eps_163(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_594,%eta_352,%gam_488}*gamma_{%\sigma_594,%gam_489,%del_287}*c_{l_121,%eta_352}(p_2)_v^(*)*c_{k_121,%gam_488}(p_1)_u*e_{j_123,%gam_489}(p_4)_u^(*)*e_{i_123,%del_287}(p_3)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  AntiPart OffShell e_del_290(X)^(*)  OffShell e_gam_543(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_637,%eta_379,%gam_539}*gamma_{%\sigma_637,%gam_540,%del_319}*c_{k_128,%gam_539}(p_1)_u*c_{l_128,%eta_379}(p_2)_v^(*)*e_{i_130,%del_319}(p_3)_v*e_{j_130,%gam_540}(p_4)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  e_eps_169(X)  AntiPart e_eta_410(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_699,%eta_408,%gam_598}*gamma_{%\sigma_699,%gam_599,%gam_600}*c_{l_143,%eta_408}(p_2)_v^(*)*c_{k_143,%gam_598}(p_1)_u*e_{i_145,%gam_599}(p_3)_u^(*)*e_{j_145,%gam_600}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  e_eps_169(X)  AntiPart OffShell e_eps_173(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_738,%eta_435,%gam_666}*gamma_{%\sigma_738,%gam_667,%del_366}*c_{l_150,%eta_435}(p_2)_v^(*)*c_{k_150,%gam_666}(p_1)_u*e_{i_152,%gam_667}(p_3)_u^(*)*e_{j_152,%del_366}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  OffShell e_alpha_251(X)  AntiPart e_beta_121(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_795,%eta_469,%gam_716}*gamma_{%\sigma_795,%gam_717,%eta_470}*c_{k_161,%gam_716}(p_1)_u*c_{l_161,%eta_469}(p_2)_v^(*)*e_{i_163,%gam_717}(p_3)_u^(*)*e_{j_163,%eta_470}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
