Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_327,%gam_186,%del_182}*gamma_{%\tau_327,%gam_187,%eps_82}*b_{k_71,%eps_82}(p_1)_u*b_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  e_eps_85(X)  AntiPart OffShell e_eta_156(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_366,%gam_245,%eps_110}*gamma_{%\tau_366,%gam_246,%gam_247}*b_{l_78,%gam_246}(p_2)_v^(*)*b_{k_78,%gam_247}(p_1)_u*e_{i_80,%gam_245}(p_3)_u^(*)*e_{j_80,%eps_110}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  OffShell e_beta_87(X)  AntiPart e_gam_325(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_416,%gam_320,%del_236}*gamma_{%\tau_416,%gam_321,%gam_322}*b_{k_89,%gam_322}(p_1)_u*b_{l_89,%gam_321}(p_2)_v^(*)*e_{j_91,%del_236}(p_4)_v*e_{i_91,%gam_320}(p_3)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  OffShell e_beta_87(X)  AntiPart OffShell e_alpha_165(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_455,%gam_395,%eta_170}*gamma_{%\tau_455,%gam_396,%gam_397}*b_{l_96,%gam_396}(p_2)_v^(*)*b_{k_96,%gam_397}(p_1)_u*e_{i_98,%gam_395}(p_3)_u^(*)*e_{j_98,%eta_170}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  AntiPart e_eps_136(X)^(*)  e_eta_189(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_488,%gam_475,%gam_476}*gamma_{%\tau_488,%gam_477,%gam_478}*b_{l_103,%gam_477}(p_2)_v^(*)*b_{k_103,%gam_478}(p_1)_u*e_{i_105,%gam_476}(p_3)_v*e_{j_105,%gam_475}(p_4)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  AntiPart e_eps_136(X)^(*)  OffShell e_del_309(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_530,%gam_569,%eps_142}*gamma_{%\tau_530,%gam_570,%gam_571}*b_{k_110,%gam_571}(p_1)_u*b_{l_110,%gam_570}(p_2)_v^(*)*e_{j_112,%gam_569}(p_4)_u^(*)*e_{i_112,%eps_142}(p_3)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  AntiPart OffShell e_del_332(X)^(*)  e_eps_163(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_579,%gam_648,%del_329}*gamma_{%\tau_579,%gam_649,%gam_650}*b_{l_121,%gam_649}(p_2)_v^(*)*b_{k_121,%gam_650}(p_1)_u*e_{i_123,%del_329}(p_3)_v*e_{j_123,%gam_648}(p_4)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  AntiPart OffShell e_del_332(X)^(*)  OffShell e_gam_729(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_619,%gam_724,%del_367}*gamma_{%\tau_619,%gam_725,%gam_726}*b_{l_128,%gam_725}(p_2)_v^(*)*b_{k_128,%gam_726}(p_1)_u*e_{i_130,%del_367}(p_3)_v*e_{j_130,%gam_724}(p_4)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  e_eps_169(X)  AntiPart e_eta_199(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_684,%gam_808,%gam_809}*gamma_{%\tau_684,%gam_810,%gam_811}*b_{l_143,%gam_810}(p_2)_v^(*)*b_{k_143,%gam_811}(p_1)_u*e_{i_145,%gam_808}(p_3)_u^(*)*e_{j_145,%gam_809}(p_4)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  e_eps_169(X)  AntiPart OffShell e_eps_173(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_717,%gam_901,%del_426}*gamma_{%\tau_717,%gam_902,%gam_903}*b_{k_150,%gam_903}(p_1)_u*b_{l_150,%gam_902}(p_2)_v^(*)*e_{i_152,%gam_901}(p_3)_u^(*)*e_{j_152,%del_426}(p_4)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  OffShell e_alpha_185(X)  AntiPart e_beta_121(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_766,%gam_976,%eta_209}*gamma_{%\tau_766,%gam_977,%gam_978}*b_{k_161,%gam_978}(p_1)_u*b_{l_161,%gam_977}(p_2)_v^(*)*e_{j_163,%eta_209}(p_4)_v*e_{i_163,%gam_976}(p_3)_u^(*)/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
